Country,year,month,CapFact,meanCap,Category,ISO2
AT,2016,12,0.2873843427419355,0.29072147349365496,Below Mean,AT
BE,2016,12,0.2414588387096774,0.35068142360990023,Below Mean,BE
CH,2016,12,0.0975522244623656,0.2386948710028577,Below Mean,CH
CZ,2016,12,0.27762177150537637,0.28695216966361525,Below Mean,CZ
DE,2016,12,0.24608547311827958,0.27611292929259906,Below Mean,DE
ES,2016,12,0.18198529704301075,0.3235711276034099,Below Mean,ES
FR,2016,12,0.1699590564516129,0.304191940697956,Below Mean,FR
GB,2016,12,0.3617582930107527,0.41318986663639445,Below Mean,GB
HR,2016,12,0.12116569623655914,0.1988194780671801,Below Mean,HR
HU,2016,12,0.24066465860215053,0.26686468923520296,Below Mean,HU
IE,2016,12,0.33278325,0.37824746824324323,Below Mean,IE
IT,2016,12,0.1878413682795699,0.2615194084653202,Below Mean,IT
LU,2016,12,0.18533185349462367,0.3177213601981013,Below Mean,LU
NL,2016,12,0.24456989381720431,0.3361378265656786,Below Mean,NL
PT,2016,12,0.23741341532258065,0.317718318690061,Below Mean,PT
SI,2016,12,0.07295024059139785,0.11564180039717137,Below Mean,SI
SK,2016,12,0.15819103360215053,0.1635652464908457,Below Mean,SK
BG,2016,12,0.3554435591397849,0.3072863939092318,Above Mean,BG
CY,2016,12,0.18105062768817204,0.1743937640632568,Above Mean,CY
DK,2016,12,0.3689593387096774,0.36214287584398913,Above Mean,DK
EE,2016,12,0.34443765994623654,0.3361063412755497,Above Mean,EE
FI,2016,12,0.40046900403225805,0.37652552291363944,Above Mean,FI
GR,2016,12,0.3744764193548387,0.32089486055773514,Above Mean,GR
LT,2016,12,0.3986608870967742,0.34449750909861476,Above Mean,LT
LV,2016,12,0.39687360349462364,0.34166117172212535,Above Mean,LV
MK,2016,12,0.24050666666666667,0.1309143806136782,Above Mean,MK
NO,2016,12,0.42127367607526883,0.3694625798108592,Above Mean,NO
PL,2016,12,0.3282083266129032,0.3090706574990313,Above Mean,PL
RO,2016,12,0.31255999731182793,0.2839335426341664,Above Mean,RO
SE,2016,12,0.37752088037634407,0.32071393484331107,Above Mean,SE
