Country,year,month,CapFact
AT,2015,12,0.1645684005376344
BE,1995,12,0.21468959811827956
BG,2006,12,0.19369147043010754
CH,2016,12,0.0975522244623656
CY,1995,12,0.06265898521505377
CZ,1984,12,0.17401229704301074
DE,1995,12,0.15545086693548388
DK,1995,12,0.22221006451612904
EE,1997,12,0.2063776451612903
ES,2016,12,0.18198529704301075
FI,1985,12,0.2687691061827957
FR,2016,12,0.1699590564516129
GB,2010,12,0.25160808064516127
GR,2006,12,0.21706872177419353
HR,2015,12,0.05587998655913978
HU,2015,12,0.13551380241935485
IE,2010,12,0.18586999193548387
IT,2015,12,0.08361952150537634
LT,2000,12,0.21262316397849462
LU,1984,12,0.1754294435483871
LV,1997,12,0.2017897365591398
MK,1984,12,0.08251949059139785
NL,1995,12,0.19635793413978495
NO,2010,12,0.2586802244623656
PL,1996,12,0.19291461424731182
PT,2011,12,0.22785404704301077
RO,2007,12,0.1874630443548387
SE,2009,12,0.195857938172043
SI,2015,12,0.03382967876344086
SK,2015,12,0.08728958064516129
