Country,year,month,CapFact
AT_ON,2015,12,0.1645684005376344
BE_OFF,1995,12,0.26791297715053763
BE_ON,1995,12,0.18921005913978495
BG_ON,2006,12,0.19369147043010754
CH_ON,2016,12,0.0975522244623656
CY_ON,1995,12,0.06265898521505377
CZ_ON,1984,12,0.17401229704301074
DE_OFF,1995,12,0.28143690188172044
DE_ON,1995,12,0.1406785940860215
DK_OFF,2008,12,0.28116385887096773
DK_ON,1995,12,0.19081754435483872
EE_ON,1997,12,0.2063776451612903
ES_ON,2016,12,0.18198529704301075
FI_OFF,1985,12,0.3105865927419355
FI_ON,1985,12,0.2685221801075269
FR_OFF,1988,12,0.3705512056451613
FR_ON,2016,12,0.16983271505376343
GB_OFF,2010,12,0.3167772795698925
GB_ON,2010,12,0.21033337231182794
GR_ON,2006,12,0.21706872177419353
HR_ON,2015,12,0.05587998655913978
HU_ON,2015,12,0.13551380241935485
IE_OFF,2010,12,0.22935234005376345
IE_ON,2010,12,0.18545568548387098
IT_ON,2015,12,0.08361952150537634
LT_ON,2000,12,0.21262316397849462
LU_ON,1984,12,0.1754294435483871
LV_ON,1997,12,0.2017897365591398
MK_ON,1984,12,0.08251949059139785
NL_OFF,1995,12,0.26337318010752686
NL_ON,1995,12,0.18469515322580646
NO_OFF,1981,12,0.42862317741935485
NO_ON,2010,12,0.25818020295698924
PL_ON,1996,12,0.19291461424731182
PT_ON,2011,12,0.22785404704301077
RO_ON,2007,12,0.1874630443548387
SE_OFF,2008,12,0.3530783252688172
SE_ON,2009,12,0.182840186827957
SI_ON,2015,12,0.03382967876344086
SK_ON,2015,12,0.08728958064516129
